ar,r_protrump,r_neutral_mean
0.023221050176296488,0.02326821085285093,4.716067655444021e-05
0.004586652758758378,0.004598361511641458,1.1708752883079452e-05
0.00614011859583877,0.00621153738987796,7.141879403919046e-05
-0.013465095080323043,-0.013283838898803434,0.0001812561815196091
-0.015194687530102408,-0.01525982231479926,-6.513478469685184e-05
-0.0017296950631796484,-0.0017921215180093455,-6.242645482969706e-05
-0.016451786323681994,-0.016472678927953746,-2.089260427175084e-05
0.00299794398596122,0.003010473710899707,1.2529724938487014e-05
0.0012284481539896553,0.0011256211204936867,-0.00010282703349596856
0.012283722976941533,0.012261863614360463,-2.185936258107085e-05
-0.011375760087406884,-0.011391953602191016,-1.6193514784130846e-05
-0.021624841006485387,-0.021671028286839773,-4.6187280354384276e-05
0.023756863604983133,0.023834816837732913,7.795323274977853e-05
0.008573666809022234,0.008556718325417888,-1.69484836043447e-05
-0.0017817372861558653,-0.0017055374906523946,7.619979550347076e-05
-0.009830841788074201,-0.00985461770131875,-2.3775913244547762e-05
-0.0021340383998165414,-0.002094020810535999,4.001758928054269e-05
0.002166820099863803,0.002157052548168811,-9.767551694991762e-06
-0.01603564081927172,-0.016103227639894666,-6.758682062294629e-05
-0.005138875134828046,-0.005129583973151402,9.291161676643046e-06
0.004119521173014168,0.0040865736916849875,-3.2947481329180263e-05
-0.005638509992555228,-0.005610617402397704,2.7892590157523832e-05
0.0007729555549142293,0.0008003763357673309,2.742078085310156e-05
-0.00745556971171465,-0.007470870376739671,-1.530066502502089e-05
0.0207784854615941,0.02075098647571562,-2.7498985878480842e-05
-0.00870906793819589,-0.008697883219122108,1.1184719073782225e-05
-0.01364833948659563,-0.013640758529931499,7.580956664131345e-06
-0.0056669399517372656,-0.005666372903430396,5.670483068697724e-07
-0.009019020263593048,-0.008991409888791345,2.761037480170225e-05
0.003843410098891123,0.0038555899307453033,1.2179831854180556e-05
0.01862378243764607,0.018670347099261735,4.65646616156642e-05
-0.007297154309481178,-0.00725039438939945,4.675992008172824e-05
0.016409423483068973,0.01643357643357516,2.415295050618672e-05
0.0008098995087394232,0.000806016804767391,-3.8827039720322005e-06
-0.07638712486164415,-0.07641905537810093,-3.193051645678347e-05
0.005147589213313243,0.00503169398222569,-0.000115895231087553
-0.01051217879431151,-0.010427242252919822,8.493654139168668e-05
0.031160351408071434,0.031137253094825887,-2.3098313245547073e-05
0.002036007331897927,0.002052290032086102,1.6282700188174874e-05
-0.020866452149855955,-0.02091227271173281,-4.582056187685734e-05
0.0359295957141202,0.035977236680231416,4.764096611121437e-05
-0.004817996941832306,-0.004858290196209866,-4.029325437755999e-05
-0.005102876339717691,-0.005136951806158088,-3.4075466440397e-05
-0.020546961191390687,-0.020542317816447553,4.643374943134846e-06
0.017642012692596548,0.017722030026553315,8.001733395676517e-05
0.005419330967955718,0.005486464991971725,6.713402401600662e-05
-0.013832133680091606,-0.01376212549764641,7.000818244519606e-05
-0.027119693066606335,-0.027233114883533735,-0.00011342181692740105
-0.0021952160345495167,-0.0022362531231488914,-4.103708859937464e-05
0.010878058349830825,0.010986601151774645,0.0001085428019438197
-0.011159977521263055,-0.0111755823095589,-1.5604788295844743e-05
-0.012526706922923242,-0.012514399732968568,1.2307189954672337e-05
0.008846036894259534,0.008893175535729735,4.7138641470199714e-05
-0.012512691325540908,-0.012534446964792379,-2.1755639251471247e-05
0.0031745962035062804,0.003174072191765622,-5.240117406581618e-07
0.005474643037384182,0.005415164797708082,-5.947823967610009e-05
0.00443377901685424,0.004511593864428521,7.781484757428154e-05
0.0038868391043440386,0.0038851760033429823,-1.663101001056196e-06
0.009922933615079349,0.009956780444234082,3.3846829154732925e-05
